Time,Temp,Weather,Wind,Direction,Humidity,Barometer,Visibility
01,28,Passing clouds.,,Wind blowing from 0° North to South,87,1010,6
04,27,Passing clouds.,,Wind blowing from 0° North to South,88,1010,6
07,28,Partly sunny.,,Wind blowing from 0° North to South,78,1012,6
10,32,Partly sunny.,15,Wind blowing from 330° North-northwest to South-southeast,66,1012,7
13,33,Partly sunny.,,Wind blowing from 0° North to South,66,1010,7
16,31,Partly sunny.,20,Wind blowing from 330° North-northwest to South-southeast,68,1008,7
19,29,Overcast.,,Wind blowing from 0° North to South,72,1010,6
22,28,Overcast.,,Wind blowing from 0° North to South,75,1011,6
01,28,Passing clouds.,,Wind blowing from 0° North to South,76,1011,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,77,1010,6
07,29,Partly sunny.,,Wind blowing from 0° North to South,72,1012,6
10,32,Partly sunny.,,Wind blowing from 0° North to South,62,1011,7
13,33,Partly sunny.,15,Wind blowing from 320° Northwest to Southeast,62,1008,7
16,31,Partly sunny.,13,Wind blowing from 300° West-northwest to East-southeast,67,1007,7
19,30,Passing clouds.,,Wind blowing from 0° North to South,70,1009,6
22,29,Passing clouds.,,Wind blowing from 0° North to South,76,1011,6
01,29,Passing clouds.,,Wind blowing from 0° North to South,76,1010,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,80,1009,6
07,28,Partly sunny.,,Wind blowing from 0° North to South,78,1011,6
10,32,Partly sunny.,,Wind blowing from 0° North to South,67,1011,7
13,33,Partly sunny.,13,Wind blowing from 340° North-northwest to South-southeast,57,1008,7
16,32,Partly sunny.,9,Wind blowing from 280° West to East,66,1006,7
19,29,Passing clouds.,9,Wind blowing from 330° North-northwest to South-southeast,70,1010,6
22,29,Passing clouds.,7,Wind blowing from 60° East-northeast to West-southwest,71,1011,6
01,28,Passing clouds.,,Wind blowing from 0° North to South,76,1009,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,81,1009,6
07,29,Partly sunny.,,Wind blowing from 0° North to South,77,1010,6
10,31,Overcast.,,Wind blowing from 0° North to South,69,1010,7
13,32,Partly sunny.,6,Wind blowing from 290° West-northwest to East-southeast,66,1008,7
16,31,Partly sunny.,13,Wind blowing from 340° North-northwest to South-southeast,72,1006,7
19,29,Passing clouds.,7,Wind blowing from 270° West to East,73,1009,6
22,26,Thundershowers. Overcast.,,Wind blowing from 0° North to South,94,1012,5
01,25,Overcast.,,Wind blowing from 0° North to South,92,1010,5
